barcode,artista,titolo,compositore,catalogo,casa,etichetta,supporto,n.supporti,datauscita,prezzo,Ordinato,Preparato
0602438109203,MINISTRI,CRONACA NERA E MUSICA LEGGERA,-,WW089LP,UNIVERSAL,WOODWORM,EP,1,14/05/2021,"14,18",4,0
0602435583822,MONK THELONIOUS,PALO ALTO: THE CUSTODIAN'S MIX. - RSD - LP,-,3558382,UNIVERSAL,UNIVERSAL - RSD 2021,LP,1,12/06/2021,"26,25",1,0
3700477833558,MONROE MARILYN,INCURABLY ROMANTIC - LP LIMITED RED VINYL + CD,-,3700477833558,MASTER MUSIC,CULTURE FACTORY - RSD 2021,LP,2,12/06/2021,"15,93",1,0
8719262019904,MORPHINE,GOOD -HQ/INSERT - 180GR./INSERT/BLACK VINYL,-,MOVLPB2816,IMPORT EU,MUSIC ON VINYL,LP,1,25/06/2021,"16,62",1,0
0602438121489,NEFFA,NEFFA E I MESSAGGERI DELLA DOPA,-,3812148,UNIVERSAL,UNIVERSAL STRATEGIC,LP,3,04/06/2021,"26,25",2,0
0602438121540,NEFFA,NEFFA E I MESSAGGERI DELLA DOPA,-,3812154,UNIVERSAL,UNIVERSAL STRATEGIC,LP,2,04/06/2021,"24,68",2,0
8719262016200,NELSON WILLIE,HONEYSUCKLE ROSE -CLRD - 180GR/GATEFOLD/BONUS TRACKS/1000CPS ROSE-COLOURED VIN,-,MOVATR19,IMPORT EU,MUSIC ON VINYL,LP,2,18/06/2021,"23,32",1,0
0098787083415,NIRVANA,BLEACH - DELUXE LTD. - REMASTERED ED.,-,SP834,AUDIOGLOBE,SUB POP,LP,2,02/09/2016,"22,92",2,0
0050087473198,O.S.T.,SOUL (MUSIC FROM AND INSPIRED BY),BATISTE JON,8747319,UNIVERSAL,VIRGIN,LP,1,21/05/2021,"18,48",1,0
0600753927045,O.S.T.,NO TIME TO DIE (COLOURED),ZIMMER,5392704,UNIVERSAL CLASSIC,UNIVERSAL CLASSIC,LP,2,13/11/2020,"22,58",1,0
0603497846146,O.S.T.,THE CROW - INDIE EXCLUSIVE LTD.ED.,-,603497846146,WARNER INDIE EXCLUSIVE,RHINO RECORDS,LP,2,30/10/2020,"18,73",1,0
0603497848904,O.S.T.,MUSIC FROM THE TWIN PEAKS SOUNDTRACK (1990) - LP 140 GR. COLORED GREEN VINYL LT,BADALAMENTI ANGELO,603497848904,WARNER INDIE EXCLUSIVE,RHINO RECORDS,LP,1,24/01/2020,"16,05",1,0
8719262018549,O.S.T.,MINAMATA -COLOURED - LP 180 GR../GATEFOLD/INSERT/RYUICHI SAKAMOTO/1500 CPS CLRD,-,MOVATM316,IMPORT EU,MUSIC ON VINYL,LP,2,13/08/2021,"23,32",1,0
8016158310450,O.S.T. - CIPRIANI STELVIO,MARK IL POLIZIOTTO - LP 180 GR.CRYSTAL VINYL HATEFOLD SLEEVE LTD.ED.,CIPRIANI STELVIO,AMS LP104C,BTF,AMS,LP,1,30/07/2021,"17,44",1,0
0888072239036,O.S.T. / AA.VV.,MATRIX - LP 180 GR. COLORED GREEN NEON VINYL INDIE EXCLUSIVE LTD.ED.,DAVIS DON,7223903,EGEA,IMS - UNIVERSAL,LP,1,29/10/2021,"19,96",1,0
8033622537236,OTTONE PESANTE,DOOMOOD,-,AURA040,AUDIOGLOBE,AURAL MUSIC,CD,1,18/09/2020,"11,83",1,0
8719262019478,PARSONS ALAN,ON AIR -COLOURED - 180GR./GATEFOLD/INSERT/1500 COPIES ON TRANSPARENT VINYL,-,MOVLPT1009,IMPORT EU,MUSIC ON VINYL,LP,1,18/06/2021,"17,74",1,0
8719262019485,PARSONS ALAN,TIME MACHINE -COLOURED - 180GR./GATEFOLD/4P BOOKLET/1500 COPIES TRANSLUCENT BL,-,MOVLPC1010,IMPORT EU,MUSIC ON VINYL,LP,2,09/07/2021,"20,64",2,0
0194398891613,PEARL JAM,NO CODE ( EDITION 2021) - LP 180 GR. LTD.ED.,-,19439889161,SONY,EPIC/LEGACY,LP,1,03/09/2021,"31,03",2,0
0039841471434,PRIMORDIAL,IMRAMA - WHITE/PURPLE MARBLED VINYL,-,398414714-8,AUDIOGLOBE,METAL BLADE,LP,1,18/06/2021,"16,42",1,0
0606949165925,PRIMUS,SAILING OF THE SEAS OF CHEESE,-,IND91659,UNIVERSAL,INTERSCOPE,CD,1,11/07/1996,"6,24",1,0
0634904012113,PRODIGY,THE FAT OF THE LAND,-,634904012113,SELF,BB (XL REC.),LP,2,17/05/2011,"19,98",1,0
0602547202697,QUEEN,A NIGHT AT THE OPERA - LP 180 GR. - LTD. ED.,-,4720269,UNIVERSAL,ISLAND,LP,1,25/09/2015,"22,58",1,0
0602547202703,QUEEN,A DAY AT THE RACES - LP 180 GR. - LTD. ED.,-,4720270,UNIVERSAL,ISLAND,LP,1,25/09/2015,"22,58",1,0
0602557048414,QUEEN,GREATEST HITS,-,5704841,UNIVERSAL,ISLAND,LP,2,04/11/2016,"26,25",1,0
0602438106417,RODRIGO OLIVIA,SOUR,-,3810641,UNIVERSAL,VIRGIN,LP,1,20/08/2021,"20,48",2,0
0712221017728,SAULT,NINE - LTD.ED.,-,FLO0008LP,IT-WHY - FAMILY AFFAIR,FOREVER LIVING,LP,1,08/10/2021,"24,98",1,0
0602537795635,SEX PISTOLS,NEVER MIND THE BOLLOCKS (LP),-,3779563,UNIVERSAL,IMS-UNIVERSAL,LP,1,23/05/2014,"15,75",2,0
0602435503363,STEVENS CAT,HAROLD & MAUDE LP COLORED ORANGE VINYL,-,3550336,UNIVERSAL,UNIVERSAL RSD 2021,LP,1,17/07/2021,"20,48",1,0
0602435503363,STEVENS CAT,HAROLD & MAUDE (ORANGE-RSD 21) - LP COLOUR ORANGE,-,3550336,UNIVERSAL,UNIVERSAL RSD 2021,LP,1,17/07/2021,"20,48",1,0
0602508276576,SUBSONICA,MICROCHIP EMOZIONALE - 2 LP 180 GR. COLORED YELLOW VINYL LTD.ED.,-,827657,UNIVERSAL,UNIVERSAL,LP,2,25/10/2019,"17,32",1,0
0888072364448,"TAYLOR, OTIS",OTIS TAYLOR COLLECTION,-,TEL-36444-02,EGEA,TELARC,CD,1,16/03/2015,"11,5",1,0
0190758096919,TOMLINSON LOUIS,WALLS,-,19075809691,SONY,SONY,LP,1,31/01/2020,"14,44",1,0
0602557107425,UB 40,COLLECTED -HQ- - 180GR./GATEFOLD/INSERT/PVC SLEEVE,-,MOVLP1814,IMPORT EU,MUSIC ON VINYL,LP,2,17/05/2017,"22,03",1,0
5060516096350,UFO,FORCE IT (DELUXE EDITION),-,5060516096350,WARNER,ADA / DIVESTED,CD,2,10/09/2021,"11,98",1,0
5060516096633,UFO,FORCE IT (DELUXE EDITION),-,5060516096633,WARNER,ADA / DIVESTED,LP,2,10/09/2021,"21,08",1,0
